conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.76667E+18,Sun Mar 10 03:22:40 +0000 2024,0,Selain melebihi batas kalooo aku denger di Preescon bea cukai mereka tu juga mempertimbangkan faktor lain; 1. Kondisi makanan yg belum tentu layak konsumsi krn bukan makanan kering jd rentan tercemar bakteri 2. Blm terjamin BPOM,1.76667E+18,,,in,"Semarang, Jawa Tengah",0,0,0,https://twitter.com/talkharisma/status/1766665949980282904,1.14156E+18,talkharisma
1.76665E+18,Sun Mar 10 02:32:14 +0000 2024,0,Halo Tuan dan Puan Berikut Hang Bece sampaikan jadwal pelayanan selama libur dan cuti bersama Hari Suci Nyepi Tahun Baru Saka 1946. https://t.co/tfclSZYvl0,1.76665E+18,https://pbs.twimg.com/media/GIRpw0wacAAA8VM.jpg,,in,"Kota Batam, Kepulauan Riau",0,0,0,https://twitter.com/beacukai_batam/status/1766653257378943295,262948949,beacukai_batam
1.76665E+18,Sun Mar 10 02:30:33 +0000 2024,1,-rek serius tanya prefer whitelist bh 85 atau bea cukai bh 84 ya ?,1.76665E+18,,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://twitter.com/sbyfess/status/1766652835901636840,1.15244E+18,sbyfess
1.76665E+18,Sun Mar 10 02:26:35 +0000 2024,0,@mingdanmeng Tapi kemarin ada berita tentang si milkbund 1ton sama org beacukai plus imigrasi di buangin. Padahal mau coba jastip ,1.76665E+18,,mingdanmeng,in,Virgogurl’s || 99l♡,0,1,0,https://twitter.com/kyeomhao8_/status/1766651839410503689,1.70444E+18,kyeomhao8_
1.76665E+18,Sun Mar 10 02:16:48 +0000 2024,2,Dulu sebelum apple pie ada di mcd indo tiap pulang transit sgp selalu bawa pulang. Rekor 20 pieces. Ga pernah ketahan di bea cukai. Ya kalo sampe puluhan kilo roti mah ketauan mau jualan,1.76665E+18,,,in,Why Imaging,0,0,0,https://twitter.com/hiYano/status/1766649375940571150,50849040,hiYano
1.76665E+18,Sun Mar 10 02:12:49 +0000 2024,0,Kontribusi Lebih Rp1 Miliar CV. Jawara Terima Piagam Apresiasi Dirjen Bea Cukai #mediajatim #lebihtahujawatimur #piagamapresiasi #beacukai #jawaraherbal #perusahaanrokok #pamekasan #madura #jatim https://t.co/cEEPGXSCw3,1.76665E+18,,,in,"Pamekasan, Jawa Timur",0,0,0,https://twitter.com/MediaJatim/status/1766648373187424419,8.46324E+17,MediaJatim
1.76662E+18,Sun Mar 10 00:36:34 +0000 2024,8,Ribuan pak roti milk bun Thailand yang dihancurkan hasil dari penindakan Bea Cukai Soekarno-Hatta. Nilainya Rp 400 juta. #bisnisupdate #update #bisnis #text https://t.co/sKje5NbgiF,1.76662E+18,,,in,,1,8,1,https://twitter.com/kumparan/status/1766624150226112666,7.59693E+17,kumparan
1.76641E+18,Sun Mar 10 00:32:46 +0000 2024,0,@nandhahas @FOODFESS2 pasti ada yang diselip. inget banget temen gua dapat berkarung karung barang thrifting dan dengan bangganya bilang sitaan masku di bea cukai jadi dia bawa pulang ,1.76662E+18,,nandhahas,in,cooIkiddos,0,0,0,https://twitter.com/uncoverliigh/status/1766623196563046794,1.65776E+18,uncoverliigh
1.7665E+18,Sun Mar 10 00:12:05 +0000 2024,0,@vampirehoIIiee BEA CUKAI,1.76662E+18,,vampirehoIIiee,in,❤️🌙⭐️🦋,0,1,0,https://twitter.com/xhleopatra/status/1766617988537721184,1.37224E+18,xhleopatra
1.76659E+18,Sat Mar 09 22:38:05 +0000 2024,1,Mengintip Raupan THR Dividen Dirjen Bea Cukai hingga Wamenlu dari BNI (BBNI) https://t.co/XR34EzeLdR,1.76659E+18,,,in,"Jakarta, Indonesia",0,0,0,https://twitter.com/Bisniscom/status/1766594334936424688,118646322,Bisniscom
